Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,Mystery,Fiction,Crime,Classics,Detective,Mystery Thriller,Audiobook,appointment with death hercule poirot  agatha christie mystery fiction crime classics detective mystery thriller audiobook
Versus,Hlovate,Novels,Fiction,Romance,Collections,Inspirational,0,0,versus hlovate novels fiction romance collections inspirational  
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,Romance,Paranormal,Paranormal Romance,Vampires,Fantasy,Urban Fantasy,Adult,lover revealed black dagger brotherhood  jr ward romance paranormal paranormal romance vampires fantasy urban fantasy adult
The Moon's a Balloon,David  Niven,Biography,Nonfiction,Autobiography,Memoir,Humor,Biography Memoir,Film,the moons a balloon david  niven biography nonfiction autobiography memoir humor biography memoir film
1453: The Holy War for Constantinople and the Clash of Islam and the West,Roger Crowley,History,Nonfiction,Religion,War,Medieval,European History,Islam, the holy war for constantinople and the clash of islam and the west roger crowley history nonfiction religion war medieval european history islam
The Icon of the Divine Heart of God the Father: Apologia and Canon,Marcelle Bartolo-Abela,Christianity,0,0,0,0,0,0,the icon of the divine heart of god the father apologia and canon marcelle bartoloabela christianity      
"Listen, Little Man!",Wilhelm Reich,Philosophy,Psychology,Nonfiction,Politics,Classics,Essays,Psychoanalysis,listen little man wilhelm reich philosophy psychology nonfiction politics classics essays psychoanalysis
Chasing Redbird,Sharon Creech,Young Adult,Fiction,Middle Grade,Childrens,Realistic Fiction,Coming Of Age,Contemporary,chasing redbird sharon creech young adult fiction middle grade childrens realistic fiction coming of age contemporary
Jealousy,Jenna Galicki,M M Romance,Romance,0,0,0,0,0,jealousy jenna galicki m m romance romance     
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,Horror,Fiction,Classics,Short Stories,Fantasy,Science Fiction,Gothic,the call of cthulhu and other weird stories hp lovecraft horror fiction classics short stories fantasy science fiction gothic
The Foundation Pit,Andrei Platonov,Fiction,Russia,Russian Literature,Classics,Literature,Dystopia,Novels,the foundation pit andrei platonov fiction russia russian literature classics literature dystopia novels
The Great and Secret Show (Book of the Art #1),Clive Barker,Horror,Fantasy,Fiction,Dark Fantasy,Science Fiction,Thriller,Novels,the great and secret show book of the art  clive barker horror fantasy fiction dark fantasy science fiction thriller novels
"Dragon Wing (The Death Gate Cycle, #1)",Margaret Weis,Fantasy,Fiction,Dragons,Epic Fantasy,High Fantasy,Science Fiction Fantasy,Magic,dragon wing the death gate cycle  margaret weis fantasy fiction dragons epic fantasy high fantasy science fiction fantasy magic
"Midnight Flight (Broken Wings, #2)",V.C. Andrews,Young Adult,Horror,Fiction,Thriller,Mystery,Drama,Adult Fiction,midnight flight broken wings  vc andrews young adult horror fiction thriller mystery drama adult fiction
"Sandry's Book (Circle of Magic, #1)",Tamora Pierce,Fantasy,Young Adult,Fiction,Magic,Young Adult Fantasy,Middle Grade,Childrens,sandrys book circle of magic  tamora pierce fantasy young adult fiction magic young adult fantasy middle grade childrens
The Gomorrah Principle,Rick DeStefanis,Military Fiction,Thriller,0,0,0,0,0,the gomorrah principle rick destefanis military fiction thriller     
"They're Rugby Boys, Don't You Know?",Natalie Vellacott,Christian,Nonfiction,Biography,True Story,Contemporary,Christian Non Fiction,Memoir,theyre rugby boys dont you know natalie vellacott christian nonfiction biography true story contemporary christian non fiction memoir
Aimee and the Bear,Toby Stone,Fiction,0,0,0,0,0,0,aimee and the bear toby stone fiction      
"The Soul and the Seed (The Kyrennei, #1)",Arie Farnam,Fantasy,Dystopia,Science Fiction,Young Adult,0,0,0,the soul and the seed the kyrennei  arie farnam fantasy dystopia science fiction young adult   
Campos de fresas,Jordi Sierra i Fabra,Young Adult,School,Contemporary,Spanish Literature,Read For School,Fiction,Drama,campos de fresas jordi sierra i fabra young adult school contemporary spanish literature read for school fiction drama
Asleep with One Eye Open,Dale S. Ailes,Abuse,0,0,0,0,0,0,asleep with one eye open dale s ailes abuse      
"Shadow Hand (Tales of Goldstone Wood, #6)",Anne Elisabeth Stengl,Fantasy,Christian Fiction,Christian,Young Adult,Romance,Christian Fantasy,Fiction,shadow hand tales of goldstone wood  anne elisabeth stengl fantasy christian fiction christian young adult romance christian fantasy fiction
It's a Wonderful Death,Sarah J. Schmitt,Fantasy,Young Adult,Paranormal,Contemporary,Angels,Death,Humor,its a wonderful death sarah j schmitt fantasy young adult paranormal contemporary angels death humor
Tanakh: The Holy Scriptures,Anonymous,Religion,Judaism,Jewish,Reference,Philosophy,Nonfiction,Classics,tanakh the holy scriptures anonymous religion judaism jewish reference philosophy nonfiction classics
"Mistaken Kiss (My Notorious Aunt, #2)",Kathleen Baldwin,Romance,Historical Romance,Historical,Regency,Historical Fiction,Regency Romance,Humor,mistaken kiss my notorious aunt  kathleen baldwin romance historical romance historical regency historical fiction regency romance humor
Diary of a Teenage Fairy Godmother,Kathleen Baldwin,Young Adult,Fantasy,Paranormal,Romance,Fairy Tales,Fiction,Supernatural,diary of a teenage fairy godmother kathleen baldwin young adult fantasy paranormal romance fairy tales fiction supernatural
All the Things We Leave Behind,Riel Nason,Fiction,Historical Fiction,Canada,Drama,Young Adult,0,0,all the things we leave behind riel nason fiction historical fiction canada drama young adult  
Please Look After Mom,Shin Kyung-sook,Fiction,Contemporary,Asia,Asian Literature,Family,Novels,Literary Fiction,please look after mom shin kyungsook fiction contemporary asia asian literature family novels literary fiction
"Chips in a Bag Classy Mr Murray: A heartwarming love story blended with elements of deception, love lost, suspense and redemption.",Margaret  Kelleher,Fiction,0,0,0,0,0,0,chips in a bag classy mr murray a heartwarming love story blended with elements of deception love lost suspense and redemption margaret  kelleher fiction      
"The 17th Suspect (Women's Murder Club, #17)","Maxine Patterson, James; Paetro",Mystery,Fiction,Thriller,Crime,Audiobook,Mystery Thriller,Suspense,the th suspect womens murder club  maxine patterson james paetro mystery fiction thriller crime audiobook mystery thriller suspense
"Still Me (Me Before You, #3)",Jojo Moyes,Romance,Fiction,Chick Lit,Contemporary,Audiobook,Adult,Adult Fiction,still me me before you  jojo moyes romance fiction chick lit contemporary audiobook adult adult fiction
"Gemina (The Illuminae Files, #2)",Amie Kaufman,Science Fiction,Young Adult,Romance,Fantasy,Fiction,Audiobook,Dystopia,gemina the illuminae files  amie kaufman science fiction young adult romance fantasy fiction audiobook dystopia
"Slammed (Slammed, #1)",Colleen Hoover,Romance,New Adult,Young Adult,Contemporary,Contemporary Romance,Fiction,Chick Lit,slammed slammed  colleen hoover romance new adult young adult contemporary contemporary romance fiction chick lit
This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,Nonfiction,Memoir,Medicine,Biography,Medical,Audiobook,Humor,this is going to hurt secret diaries of a junior doctor adam kay nonfiction memoir medicine biography medical audiobook humor
"Alone (Detective D.D. Warren, #1)",Lisa Gardner,Mystery,Thriller,Fiction,Crime,Suspense,Mystery Thriller,Audiobook,alone detective dd warren  lisa gardner mystery thriller fiction crime suspense mystery thriller audiobook
Sahih Muslim,Imam Abul-Husain Muslim,Islam,Religion,Nonfiction,Spirituality,Theology,0,0,sahih muslim imam abulhusain muslim islam religion nonfiction spirituality theology  
Despite the Devil,Shawna  James,Womens Fiction,0,0,0,0,0,0,despite the devil shawna  james womens fiction      
"The Falls (Inspector Rebus, #12)",Ian Rankin,Mystery,Crime,Fiction,Scotland,Thriller,Mystery Thriller,Detective,the falls inspector rebus  ian rankin mystery crime fiction scotland thriller mystery thriller detective
"First Test (Protector of the Small, #1)",Tamora Pierce,Fantasy,Young Adult,Fiction,Young Adult Fantasy,Magic,Adventure,High Fantasy,first test protector of the small  tamora pierce fantasy young adult fiction young adult fantasy magic adventure high fantasy
The Fred Factor: How Passion in Your Work and Life Can Turn the Ordinary into the Extraordinary,Mark Sanborn,Business,Nonfiction,Leadership,Self Help,Personal Development,Inspirational,Philosophy,the fred factor how passion in your work and life can turn the ordinary into the extraordinary mark sanborn business nonfiction leadership self help personal development inspirational philosophy
Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,Nonfiction,Biography,Humor,Memoir,Audiobook,Autobiography,Comedy,always look on the bright side of life a sortabiography eric idle nonfiction biography humor memoir audiobook autobiography comedy
The Iridescence of Birds: A Book About Henri Matisse,Patricia MacLachlan,Picture Books,Art,Biography,Nonfiction,Childrens,Biography Memoir,France,the iridescence of birds a book about henri matisse patricia maclachlan picture books art biography nonfiction childrens biography memoir france
"Who's Got Your Back: The Breakthrough Program to Build Deep, Trusting Relationships That Create Success--And Won't Let You Fail",Keith Ferrazzi,Business,Self Help,Relationships,Nonfiction,Personal Development,Psychology,Leadership,whos got your back the breakthrough program to build deep trusting relationships that create successand wont let you fail keith ferrazzi business self help relationships nonfiction personal development psychology leadership
"The Private Patient (Adam Dalgliesh, #14)",P.D. James,Mystery,Fiction,Crime,Mystery Thriller,Detective,British Literature,Audiobook,the private patient adam dalgliesh  pd james mystery fiction crime mystery thriller detective british literature audiobook
The Future of Man: Extinction or Glory?,Peter Hollings,Science,0,0,0,0,0,0,the future of man extinction or glory peter hollings science      
فوضى الحواس,Ahlam Mosteghanemi,Fiction,Novels,Romance,Literature,Algeria,Romantic,Drama,  ahlam mosteghanemi fiction novels romance literature algeria romantic drama
South of Broad,Pat Conroy,Fiction,Southern,Historical Fiction,Contemporary,Audiobook,Coming Of Age,Novels,south of broad pat conroy fiction southern historical fiction contemporary audiobook coming of age novels
"Ransom (Highlands' Lairds, #2)",Julie Garwood,Historical Romance,Romance,Historical,Historical Fiction,Medieval,Fiction,Scotland,ransom highlands lairds  julie garwood historical romance romance historical historical fiction medieval fiction scotland
The Wheel of time series by Robert Jordan (1-11),Robert Jordan,Fantasy,Fiction,Epic Fantasy,Science Fiction Fantasy,High Fantasy,Epic,Science Fiction,the wheel of time series by robert jordan  robert jordan fantasy fiction epic fantasy science fiction fantasy high fantasy epic science fiction
The Child in Time,Ian McEwan,Fiction,Contemporary,Literary Fiction,British Literature,Literature,Novels,20th Century,the child in time ian mcewan fiction contemporary literary fiction british literature literature novels th century
Woman at Point Zero,Nawal El Saadawi,Fiction,Feminism,Egypt,Africa,Classics,Womens,School,woman at point zero nawal el saadawi fiction feminism egypt africa classics womens school
"They Shoot Horses, Don't They?",Horace McCoy,Fiction,Noir,Classics,Crime,Mystery,Novels,American,they shoot horses dont they horace mccoy fiction noir classics crime mystery novels american
"Sugar Daddy (Travises, #1)",Lisa Kleypas,Romance,Contemporary Romance,Contemporary,Chick Lit,Fiction,Adult,Audiobook,sugar daddy travises  lisa kleypas romance contemporary romance contemporary chick lit fiction adult audiobook
"Onyx (Lux, #2)",Jennifer L. Armentrout,Young Adult,Fantasy,Paranormal,Romance,Aliens,Science Fiction,Paranormal Romance,onyx lux  jennifer l armentrout young adult fantasy paranormal romance aliens science fiction paranormal romance
Christian Controversies: Seeking the Truth,Scott S. Haraburda,Nonfiction,Christian,Religion,0,0,0,0,christian controversies seeking the truth scott s haraburda nonfiction christian religion    
